date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
3/21/2014,60.871429,61.191429,57.962856,57.998569,26770800,18.73846225,35.16491471,-151.4604472,-128.3315542,58.53574288,59.11601186,54.4544999,55.00548278,-0.081438702,62.5822143,3.228573,1.753799933,1.675341205,54.128571
3/24/2014,57.927143,58.064285,52.657143,54.128571,42483700,10.40338502,25.32278584,-210.4817558,-227.8882664,58.65531426,58.92042507,54.54721418,54.98808144,-0.617793933,62.0957857,5.407142,2.275705943,1.941898404,52.977142
3/25/2014,54.142857,54.990002,52.25,52.977142,30356900,9.011936858,23.23875807,-137.7260465,-217.6828283,58.7658857,58.68735415,54.60941419,54.94817826,-1.122826767,61.50871405,2.740002,2.342033951,1.998905804,53.182858
3/26/2014,53.287144,53.921429,52.367142,53.182858,27152300,11.47975231,24.43529634,-92.75998486,-166.1994345,58.86722856,58.47149067,54.68675707,54.91315035,-1.489301623,60.96221425,1.554287,2.229498672,1.967147318,52.025715
3/27/2014,53.001431,53.975716,51.647144,52.025715,28672000,9.745208934,22.32705783,-78.67940515,-137.2903792,58.94214288,58.21871415,54.74632853,54.85585947,-1.851761403,60.3332857,2.328572,2.243652005,1.992963367,51.267143
3/28/2014,51.459999,52.714287,50.82143,51.267143,24699500,8.735706759,21.04517277,-83.60424079,-121.6923569,59.02354286,57.94610249,54.78861426,54.78465698,-2.175150035,59.71357135,1.892857,2.193538433,1.985812912,50.290001
3/31/2014,51.644287,52.408569,49.982857,50.290001,22125600,7.558953429,19.49266308,-96.50116464,-109.5980307,59.08168572,57.64586212,54.80922854,54.69548349,-2.481677812,59.0452858,2.425712,2.226706085,2.017234275,52.098572
04-01-2014,50.25,52.17857,50.248569,52.098572,21338800,28.38905789,29.81314906,-66.35641352,-84.6413699,59.18068574,57.42832057,54.84235713,54.643963,-2.549280204,58.40035705,1.930001,2.184319644,2.011003327,51.84
04-02-2014,52.237144,53.007141,51.185715,51.84,24194100,27.36069489,29.23609739,-13.31042981,-67.0260968,59.2783143,57.20917,54.88128569,54.58833686,-2.593820241,57.7530714,1.821426,2.132477695,1.99746209,50.669998
04-03-2014,51.618572,52.157143,50.014286,50.669998,21983500,22.96851368,26.71626112,-87.95086158,-77.60225632,59.3382,56.95273106,54.92104281,54.51060611,-2.692490569,57.0686426,2.142857,2.133960453,2.00784744,48.187141
04-04-2014,50.778572,50.857143,47.982857,48.187141,34958000,16.4362064,22.3198865,-183.9140612,-104.6747724,59.19131424,56.60898136,54.92448565,54.38516771,-2.937175394,56.27535685,2.874286,2.239721245,2.069735909,48.285713
04-07-2014,48.644287,49.741428,47.30143,48.285713,37351300,17.52267439,22.86259991,-134.0084027,-111.1625604,59.0539428,56.2825777,54.9246142,54.26417724,-3.087544652,55.5471426,2.439998,2.26833221,2.096183201,49.841431
04-08-2014,48.578571,50.112858,48.341431,49.841431,25761400,33.45379064,31.05018454,-50.84926274,-85.27390599,58.96154282,56.02998299,54.94627138,54.17644943,-3.04606677,54.914357,1.827145,2.205305466,2.076966187,50.432858
04-09-2014,50.147144,50.557144,49.021427,50.432858,20511400,38.70493777,33.92165857,-11.38728429,-66.1043218,58.80799996,55.81048729,54.97162852,54.10219555,-2.931677481,54.3175713,1.535717,2.109649971,2.03830553,47.818569
04-10-2014,50.639999,51.068569,47.715714,47.818569,24871000,27.51001815,28.30937941,-62.99820708,-100.779496,58.62031418,55.4970779,54.96042849,53.97756437,-3.017194083,53.6366427,3.352855,2.287250689,2.132201921,46.672855
04-11-2014,47.257141,47.831429,46.23,46.672855,30146200,23.96583195,26.25894112,-162.7649347,-156.3898651,58.39757126,55.15102906,54.9274999,53.83268542,-3.14120628,52.93821395,1.601429,2.189276162,2.09428957,47.368572
4/14/2014,47.555714,47.857143,46.505714,47.368572,17994200,30.32507398,29.59373312,-99.67875205,-120.5903359,58.17542838,54.84583392,54.91294275,53.70448261,-3.147070819,52.2872139,1.351429,2.069583711,2.0412281,46.610001
4/15/2014,47.011429,47.367142,44.585712,46.610001,30799300,27.40899017,28.10149833,-111.3492153,-139.4289496,57.952257,54.52285932,54.89719992,53.56378206,-3.176314275,51.6159283,2.78286,2.171480323,2.094201808,47.344288
4/16/2014,47.292858,47.709999,46.194286,47.344288,16114700,34.51988062,31.69206387,-46.37858397,-91.18399075,57.73939988,54.24134608,54.88561423,53.44043836,-3.104452899,50.9824999,1.515713,2.077799277,2.052881178,49.39143
4/17/2014,48.10857,49.96143,47.5,49.39143,32116000,50.3418518,40.59855861,59.58382219,-7.151447728,57.5717428,54.05115288,54.8816714,53.36014167,-2.849468096,50.42157135,2.617142,2.154848238,2.093185523,49.784286
4/21/2014,49.900002,49.914288,48.328571,49.784286,47892600,52.89039946,42.15723096,95.66376091,17.42331023,57.40197136,53.88382442,54.8825857,53.28923024,-2.585882167,50.0108572,1.585717,2.073543775,2.056937771,53.271427
4/22/2014,53.804287,54.41143,52.118572,53.271427,64702400,69.23912325,53.75647277,179.8308509,188.290864,57.23888564,53.85980879,54.91495711,53.2888772,-2.071723742,49.968,4.627144,2.438343807,2.24052393,50.5
4/23/2014,51.818569,52.5,50.42857,50.5,40285000,52.38335739,45.88169047,73.995695,99.42674029,57.01905708,53.72805133,54.91252852,53.23357518,-1.866366175,49.8441429,2.842857,2.496131406,2.283547721,49.152859
4/24/2014,50.357143,50.842857,47.828571,49.152859,30639000,46.02882987,42.61390582,-1.872822699,17.54993281,56.76214288,53.54863169,54.88621425,53.15265886,-1.791668604,49.64264295,3.014286,2.570153491,2.335743312,46.011429
4/25/2014,48.208572,48.772858,46,46.011429,33071500,34.60740885,36.14840499,-104.9461663,-87.37655511,56.45685716,53.25305459,54.82375713,53.0110596,-1.963325394,49.34192865,3.152859,2.653397135,2.394108719,44.887142
4/28/2014,45.435715,45.842857,42.785713,44.887142,47123300,31.35846915,34.15133623,-156.4319648,-153.1744094,56.1073143,52.92497903,54.75274284,52.84997946,-2.165126966,49.0229286,3.225716,2.735156973,2.453509239,45.695713
4/29/2014,44.605713,46.375713,44.575714,45.695713,23132900,36.37055461,36.85330401,-80.7624657,-94.72751172,55.77691428,52.64147793,54.69121425,52.70812912,-2.234058409,48.7932142,1.799999,2.601562977,2.406829936,46.005714
4/30/2014,45.417145,46.057144,44.32143,46.005714,23618700,38.38299854,37.90530777,-61.95637714,-85.2353689,55.4488857,52.38125149,54.64231425,52.57524119,-2.237875746,48.4885713,1.735714,2.477870266,2.358893083,48.074287
05-01-2014,46.292858,49.384285,46.150002,48.074287,37001300,50.55681248,44.54434279,22.18240808,1.185616231,55.18685718,52.21235066,54.61154284,52.48600357,-2.050349309,48.30028565,3.378571,2.606541799,2.43172722,48.664288
05-02-2014,48.215714,49.128571,47.721428,48.664288,26194700,53.60687283,46.30765586,74.84023031,20.23261424,54.91742864,52.07321075,54.59184287,52.41023463,-1.832995476,48.20000015,1.407143,2.435199114,2.358542633,49.197144
05-05-2014,48.295715,49.354286,48.014286,49.197144,20330800,56.43833244,47.91833928,97.05833667,28.60736181,54.66642866,51.96042366,54.5757143,52.34653376,-1.599308143,48.2505003,1.34,2.278742097,2.285789588,46.598572
05-06-2014,49.102856,49.674286,46.52,46.598572,22722700,41.891851,41.3964879,31.0128671,-21.81275054,54.32125724,51.75015469,54.52298573,52.23258066,-1.605287535,48.16614325,3.154286,2.403819798,2.347825046,45.791428
05-07-2014,46.59,46.834286,45.029999,45.791428,25680900,38.31338146,39.59389237,-64.38630767,-80.23666344,53.9427143,51.51647883,54.46092858,52.10488803,-1.656065925,47.9636431,1.804287,2.318172255,2.3090009,45.951427
05-08-2014,45.308571,47.388573,44.908569,45.951427,21168700,39.50840334,40.1502424,-62.27454216,-63.73650747,53.57948576,51.29824123,54.3871143,51.98290148,-1.664213564,47.73957155,2.480004,2.341291076,2.321215407,46.935715
05-09-2014,46.011429,47.134285,45.335712,46.935715,17968300,46.89242671,43.59212916,-56.44779161,-43.5317332,53.22611434,51.12716157,54.32937146,51.88284798,-1.573112945,47.69542885,1.798573,2.263759922,2.283883806,49.349998
05-12-2014,47.265713,49.361427,47.217144,49.349998,21395500,60.64093461,51.03098615,72.98770615,57.85934014,52.9398857,51.0574688,54.29957142,51.83263882,-1.291218227,47.829286,2.425712,2.286895933,2.294014392,49.591431
5/13/2014,49.207142,50.610001,48.677143,49.591431,20832000,61.79485592,51.71672127,109.1129478,114.6380232,52.65860008,50.99997706,54.25995717,51.78821188,-1.036386191,47.94042895,1.932858,2.236319086,2.268217507,50.26857
5/14/2014,49.578571,50.628571,49.437141,50.26857,19891900,65.13910024,53.67604651,107.8107461,129.4554168,52.36402854,50.9712944,54.22515718,51.758089,-0.770904008,48.1233574,1.19143,2.087049216,2.191304113,49.169998
5/15/2014,50.121429,50.255714,48.482857,49.169998,23370200,55.8807086,50.12237866,53.4305667,79.43095947,52.05171424,50.90065525,54.17865716,51.70678798,-0.641755288,48.2146429,1.785713,2.044001185,2.162333319,49.982857
5/16/2014,49.352856,49.995712,48.548573,49.982857,19072200,60.7023396,52.62183703,50.31116558,79.90927744,51.7641999,50.86466313,54.14181428,51.67261699,-0.46841349,48.24421425,1.447139,1.958735159,2.111248011,52.07143
5/19/2014,49.57143,52.459999,49.507141,52.07143,25393200,70.39951917,58.39139396,138.8024035,144.7905912,51.52457138,50.91198736,54.11884286,51.68052193,-0.160656532,48.35857145,2.952858,2.100752708,2.17136301,53.095715
5/20/2014,52.144287,53.242859,51.771427,53.095715,28828100,74.06168825,60.90578369,159.5209365,180.8274766,51.32948572,50.99762382,54.10924287,51.70857217,0.164003781,48.34978585,1.471432,2.010849749,2.121367938,55.799999
5/21/2014,53.58857,55.812859,53.335712,55.799999,39939900,81.21884105,66.63794487,157.346966,209.1516845,51.19554284,51.18595242,54.12877145,51.78966595,0.632224643,48.6147858,2.717144,2.111748928,2.163923371,55.971428
5/22/2014,55.84,56.785713,55.357143,55.971428,33222700,81.59444172,66.9685806,121.966601,179.8082815,51.06759996,51.37361828,54.16348573,51.87254868,1.005534759,48.95571425,1.42857,2.014151938,2.11139813,57.478573
5/23/2014,55.94857,57.495712,55.665714,57.478573,22122100,84.72727953,69.80211778,101.4412303,151.1377618,50.9884286,51.61302846,54.21400003,51.98365835,1.4067832,49.52907145,1.829998,1.987844233,2.091298121,56.972858
5/27/2014,57.42857,57.459999,56.164288,56.972858,26735100,79.43436442,67.70343001,76.66235683,120.3291662,50.91505716,51.82321802,54.25777146,52.082541,1.664777982,50.13335725,1.314285,1.891621485,2.035797184,57.32
5/28/2014,56.742859,57.885715,56.214287,57.32,19873700,80.41421695,68.40565234,73.29936022,104.9060663,50.8536857,52.03877826,54.31265717,52.18634218,1.875631057,50.7145716,1.671428,1.860165273,2.009770813,59.314285
5/29/2014,57.628571,59.427143,57.078571,59.314285,22844500,85.15479777,72.15176362,118.3342922,113.6396199,50.83925714,52.32409245,54.38708573,52.32760845,2.178542883,51.38000015,2.348572,1.929937663,2.033970898,59.689999
5/30/2014,59.311428,60.248569,58.80143,59.689999,29248800,85.90466269,72.80594781,145.9767243,112.9748658,50.8328,52.61295172,54.4703143,52.47351872,2.421011752,51.96078575,1.447139,1.860966425,1.992054334,60.294285
06-02-2014,59.925713,60.415714,58.92857,60.294285,20480600,87.12499027,73.8691732,104.9604822,104.2517101,50.82648568,52.91418068,54.58825715,52.6285107,2.631595512,52.5422856,1.487144,1.807563222,1.95598931,59.652859
06-03-2014,59.998569,60.799999,59.578571,59.652859,17133200,78.68847848,70.70897261,84.48348293,96.07743396,50.85957148,53.17844274,54.69765718,52.76771704,2.71542521,53.06507135,1.221428,1.723829618,1.903520645,60.458572
06-04-2014,59.537144,60.642857,59.042858,60.458572,17432800,81.33688639,72.31137399,68.13005288,88.5105233,50.9861715,53.46393817,54.82074288,52.9201296,2.814432134,53.75807135,1.599999,1.70613953,1.881840528,61.192856
06-05-2014,60.535713,61.342857,59.795715,61.192856,18930800,83.51504131,73.72226361,100.3282614,98.50751018,51.15048578,53.76703317,54.95818574,53.0840708,2.918503722,54.52814275,1.547142,1.683425597,1.85793349,61.447144
06-06-2014,61.43,62.127144,61.194286,61.447144,15730400,84.25736069,74.21232479,159.2393798,107.7271231,51.3157715,54.06821415,55.09150003,53.24979991,2.987067072,55.3029286,0.934288,1.576405941,1.791958812,60.441429
06-09-2014,61.357143,61.521427,60.012856,60.441429,16678900,69.76231266,68.75126661,35.59703209,74.34845705,51.48408578,54.31814428,55.21311433,53.39231268,2.926516168,55.9782143,1.508571,1.566715235,1.771716826,61.184284
06-10-2014,60.78857,62.291428,60.717144,61.184284,22920100,73.66623114,70.47925901,93.60787076,91.26580997,51.6824286,54.5874048,55.35298573,53.54671987,2.904984479,56.5699286,1.849999,1.607184344,1.777308409,61.42857
06-11-2014,60.747143,61.799999,60.714287,61.42857,13745900,74.90905751,71.04627213,62.43351424,82.34191005,51.90519998,54.85568592,55.49344285,53.7029059,2.874496887,57.16178555,1.085712,1.532688295,1.727908666,60.349998
06-12-2014,61.295715,61.464287,60.07143,60.349998,15803200,60.25961369,65.10078647,-43.23368578,48.23717145,52.0702285,55.07114924,55.62545712,53.83462224,2.731812867,57.66585695,1.392857,1.512712396,1.703976404,61.101429
6/13/2014,60.42857,61.128571,59.601429,61.101429,15778700,65.710149,67.16255563,-68.68933014,41.35428603,52.25545708,55.30763091,55.76688569,53.97861665,2.648834835,58.2624285,1.527142,1.514773768,1.691345375,61.465714
6/16/2014,60.932858,61.601429,60.488571,61.465714,12506200,68.1786043,68.14506783,24.00227906,70.74994596,52.4713714,55.54912447,55.9047857,54.12697422,2.582697177,58.83657135,1.112858,1.457357229,1.650024848,63.378571
6/17/2014,62.577145,64.012856,62.53857,63.378571,28996100,77.91728524,72.75487994,221.1657449,224.27361,52.7752,55.85616172,55.98325712,54.31029311,2.654040058,59.4019284,2.547142,1.613040768,1.714104645,64.097145
6/18/2014,63.381428,64.402855,62.892857,64.097145,18786600,80.52888977,74.26169569,132.4280682,204.4638059,53.09142864,56.17933766,56.07268572,54.5042155,2.73701215,59.9519999,1.509998,1.598320373,1.699525599,63.055714
6/19/2014,64.204285,64.21286,62.580002,63.055714,17308200,67.10919157,68.36074612,68.05547717,135.1728384,53.3557143,56.44899958,56.15862856,54.67365774,2.687750636,60.31478565,1.632858,1.603254319,1.694763628,62.882858
6/20/2014,63.028572,63.26857,62.139999,62.882858,13222300,65.01131124,67.40338151,29.53805646,81.19412525,53.6047143,56.70130785,56.20635713,54.83631556,2.604736713,60.66035715,1.128571,1.535442417,1.654321297,62.78857
6/23/2014,62.765713,63.122856,62.221428,62.78857,10672900,63.74321727,66.8533967,13.49331273,63.65924215,53.90411432,56.9400241,56.26221425,54.99388033,2.502492155,60.925857,0.901428,1.444868929,1.600543204,62.337143
